Ref,Val,Package,PosX,PosY,Rot,Side
"","","1d23b097-72e0-487b-bec7-a328ee8b6ed7",126.134426,-33.337449,0.000000,top
"REF**","60_Outline","60_Outline-Sandy-Top3-with-Mid-plate-from-Mid4",142.875000,-38.100000,0.000000,top
"SW_-1","SW_Push","MXOnly-1U-Hotswap-guide",257.175000,-9.525000,0.000000,top
"SW_1","SW_Push","MXOnly-1U-Hotswap-guide",28.575000,-9.525000,0.000000,top
"SW_2","SW_Push","MXOnly-1U-Hotswap-guide",47.625000,-9.525000,0.000000,top
"SW_3","SW_Push","MXOnly-1U-Hotswap-guide",66.675000,-9.525000,0.000000,top
"SW_4","SW_Push","MXOnly-1U-Hotswap-guide",85.725000,-9.525000,0.000000,top
"SW_5","SW_Push","MXOnly-1U-Hotswap-screw-hole-side2-guide",104.775000,-9.525000,0.000000,top
"SW_6","SW_Push","MXOnly-1U-Hotswap-screw-hole-side1-guide",161.925000,-9.525000,0.000000,top
"SW_7","SW_Push","MXOnly-1U-Hotswap-guide",180.975000,-9.525000,0.000000,top
"SW_8","SW_Push","MXOnly-1U-Hotswap-screw-hole-side3-guide",200.025000,-9.525000,0.000000,top
"SW_9","SW_Push","MXOnly-1U-Hotswap-guide",219.075000,-9.525000,0.000000,top
"SW_10","SW_Push","MXOnly-1U-Hotswap-guide",238.125000,-9.525000,0.000000,top
"SW_=1","SW_Push","MXOnly-1U-Hotswap-guide",276.225000,-9.525000,0.000000,top
"SW_ESC1","SW_Push","MXOnly-1U-Hotswap-guide",9.525000,-9.525000,0.000000,top
"SW_T1","SW_Push","MXOnly-1U-Hotswap-guide",114.300000,-28.575000,0.000000,top
"SW_Y1","SW_Push","MXOnly-1U-Hotswap-guide",171.450000,-28.575000,0.000000,top
"SW_[1","SW_Push","MXOnly-1U-Hotswap-guide",133.350000,-28.575000,0.000000,top
"SW_\1","SW_Push","MXOnly-1U-Hotswap-guide",142.803125,-9.525000,0.000000,top
"SW_]1","SW_Push","MXOnly-1U-Hotswap-guide",152.400000,-28.575000,0.000000,top
"SW_`1","SW_Push","MXOnly-1U-Hotswap-guide",123.825000,-9.525000,0.000000,top
